imdb_id,rank_afc_2007,rank_afc_1998,rank_wga_2005,rank_ss_2012,included_in_guardian_list,included_in_1001_book,title,year,rated,released,runtime,genre,director,writer,actors,plot,language,country,awards,poster,metascore,imdb_rating,imdb_votes,alternate_title
tt0000417,,,,,,TRUE,A Trip to the Moon,1902,TV-G,4-Oct-02,13 min,"Short, Adventure, Fantasy",Georges M_©li_¨s,N/A,"Fran__ois Lallement, Jules-Eug_¨ne Legris",A group of astronomers go on an expedition to the Moon.,N/A,France,N/A,http://ia.media-imdb.com/images/M/MV5BMTQzMDYxNzUxNl5BMl5BanBnXkFtZTgwMjgxNjkxMTE@._V1_SX300.jpg,N/A,8.2,"28,826","Trip to the Moon, A (La voyage dans la lune)"
tt0000439,,,,,,TRUE,The Great Train Robbery,1903,TV-G,1-Dec-03,11 min,"Short, Action, Crime",Edwin S. Porter,N/A,"A.C. Abadie, Gilbert M. 'Broncho Billy' Anderson, George Barnes, Justus D. Barnes","A group of bandits stage a brazen train hold-up, only to find a determined posse hot on their heels.",English,USA,1 win.,https://images-na.ssl-images-amazon.com/images/M/MV5BZjE1MjdiZjgtYmYzMy00OWY2LWJiYWUtYmFhNWMyM2Y3ZDRlXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_SX300.jpg,N/A,7.3,"11,609","Great Train Robbery, The"
tt0006206,,,,,TRUE,TRUE,Les vampires,1915,NOT RATED,23-Nov-16,421 min,"Action, Adventure, Crime",Louis Feuillade,Louis Feuillade,"Musidora, _‰douard Math_©, Marcel L_©vesque, Jean Aym_©",An intrepid reporter and his loyal friend battle a bizarre secret society of criminals known as The Vampires.,French,France,1 nomination.,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc1NTY3NDIzNl5BMl5BanBnXkFtZTgwNTIyODg5MTE@._V1_UY268_CR5,0,182,268_AL_.jpg",N/A,6.8,"3,139",Les Vampires (The Vampires)
tt0004972,,44,,,,TRUE,The Birth of a Nation,1915,NOT RATED,3-Mar-15,165 min,"Drama, History, War",D.W. Griffith,"Thomas Dixon Jr. (adapted from his novel: ""The Clansman: An Historical Romance of the Ku Klux Klan""), Thomas Dixon Jr. (play), Thomas Dixon Jr. (novel), D.W. Griffith, Frank E. Woods","Lillian Gish, Mae Marsh, Henry B. Walthall, Miriam Cooper","The American Civil War divides friends and destroys families, but that's nothing compared to the anarchy in the black-ruled South after the war.",N/A,USA,2 wins.,http://ia.media-imdb.com/images/M/MV5BMTY0ODUwNDc3NV5BMl5BanBnXkFtZTgwNDE3NTU4MDE@._V1_SX300.jpg,N/A,6.8,"16,954","Birth Of A Nation, The"
tt0006864,49,,,,,TRUE,Intolerance: Love's Struggle Throughout the Ages,1916,NOT RATED,5-Sep-16,197 min,"Drama, History, War",D.W. Griffith,"D.W. Griffith (scenario), Anita Loos (titles)","Lillian Gish, Mae Marsh, Robert Harron, F.A. Turner","The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.",N/A,USA,1 win.,http://ia.media-imdb.com/images/M/MV5BMjM5Nzg2MTc3NF5BMl5BanBnXkFtZTgwODg0NDU5MTE@._V1_SX300.jpg,N/A,8,"10,759",Intolerance
tt0009968,,,,,,TRUE,Broken Blossoms,1919,NOT RATED,20-Oct-19,90 min,Drama,D.W. Griffith,"Thomas Burke (adapted from a story by), D.W. Griffith","Lillian Gish, Richard Barthelmess, Donald Crisp, Arthur Howard","A frail waif, abused by her brutal boxer father in London's seedy Limehouse District, is befriended by a sensitive Chinese immigrant with tragic consequences.",N/A,USA,1 win.,http://ia.media-imdb.com/images/M/MV5BMjA5NjY4OTYwNV5BMl5BanBnXkFtZTgwODMwNzk5MTE@._V1_SX300.jpg,N/A,7.6,"7,128",Broken Blossoms
tt0011841,,,,,,TRUE,Way Down East,1920,NOT RATED,3-Sep-20,145 min,"Drama, Romance",D.W. Griffith,"Lottie Blair Parker (from the play by), William A. Brady (play), Joseph R. Grismer (elaborated by), Anthony Paul Kelly (scenario by)","Lillian Gish, Richard Barthelmess, Mrs. David Landau, Lowell Sherman","A naive country girl is tricked into a sham marriage by a wealthy womanizer, then must rebuild her life despite the taint of having borne a child out of wedlock.",N/A,USA,N/A,http://ia.media-imdb.com/images/M/MV5BMjI5OTI3NTQ4NV5BMl5BanBnXkFtZTgwNDY3NTAwMjE@._V1_SX300.jpg,N/A,7.9,"3,835",Way Down East
tt0011870,,,,,,TRUE,Within Our Gates,1920,N/A,12-Jan-20,79 min,"Drama, Romance",Oscar Micheaux,Oscar Micheaux,"Evelyn Preer, Flo Clements, James D. Ruffin, Jack Chenault","Abandoned by her fianc_©, an educated black woman with a shocking past dedicates herself to helping a near bankrupt school for impoverished black youths.",N/A,USA,1 win.,http://ia.media-imdb.com/images/M/MV5BOGZhYjk2ZjAtYzU5Ny00YWM0LWEyMWEtNmIwMTE4Yjk0NzkxXkEyXkFqcGdeQXVyNTAzNTYzMDQ@._V1_SX300.jpg,N/A,6.3,"1,331",Within Our Gates
tt0010323,,,,,TRUE,TRUE,The Cabinet of Dr. Caligari,1920,UNRATED,19-Mar-21,67 min,"Fantasy, Horror, Mystery",Robert Wiene,"Carl Mayer (story and screen play by), Hans Janowitz (story and screen play by)","Werner Krauss, Conrad Veidt, Friedrich Feher, Lil Dagover","Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",German,Germany,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1NzIxOTcxM15BMl5BanBnXkFtZTgwMjY0ODgwNzE@._V1_SX300.jpg,N/A,8.1,"39,648","Cabinet of Dr. Caligari, The (Das Kabinett des Doktor Caligari)"
tt0012364,,,,,,TRUE,The Phantom Carriage,1921,NOT RATED,4-Jun-22,93 min,"Drama, Fantasy, Horror",Victor Sj__str__m,"Selma Lagerl__f (novel), Victor Sj__str__m","Victor Sj__str__m, Hilda Borgstr__m, Tore Svennberg, Astrid Holm","It's New Year's Eve. Three drunkards evoke a legend. The legend tells that the last person to die in a year, if he is a great sinner, will have to drive during the whole year the Phantom ...",Swedish,Sweden,N/A,http://ia.media-imdb.com/images/M/MV5BMTkyNzU4MzU2OF5BMl5BanBnXkFtZTgwMTAzMDkwMjE@._V1_SX300.jpg,N/A,8.1,"6,484","Phantom Carriage, The (Korkarlen)"
tt0012532,,,,,,TRUE,Orphans of the Storm,1921,NOT RATED,N/A,150 min,"Drama, History, Romance",D.W. Griffith,"Adolphe d'Ennery (novel), Eug_¨ne Cormon (novel), D.W. Griffith","Lillian Gish, Dorothy Gish, Joseph Schildkraut, Frank Losee","Two orphaned sisters are caught up in the turmoil of the French Revolution, encountering misery and love along the way.",English,USA,N/A,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxMDYxNDgyNV5BMl5BanBnXkFtZTcwMTQ5MDUyMQ@@._V1._CR1,26,352,443_UY268_CR15,0,182,268_AL_.jpg",N/A,7.9,"3,757",Orphans of the Storm
tt0013086,,,,,,TRUE,Dr. Mabuse: The Gambler,1922,NOT RATED,1-May-23,242 min,"Crime, Mystery, Thriller",Fritz Lang,"Norbert Jacques (novel), Fritz Lang, Thea von Harbou","Rudolf Klein-Rogge, Aud Egede-Nissen, Gertrude Welcker, Alfred Abel",Arch-criminal Dr. Mabuse sets out to make a fortune and run Berlin. Detective Wenk sets out to stop him.,German,Germany,N/A,http://ia.media-imdb.com/images/M/MV5BMjEwMzk5MTI1MV5BMl5BanBnXkFtZTgwNDY1MTA5MTE@._V1_SX300.jpg,N/A,7.9,"5,142","Dr. Mabuse Parts 1 and 2 (Dr. Mabuse, der Spieler)"
tt0013427,,,,,,TRUE,Nanook of the North,1922,NOT RATED,11-Jun-22,78 min,Documentary,Robert J. Flaherty,N/A,"Allakariallak, Nyla, Allee, Cunayou","In this silent predecessor to the modern documentary, film-maker Robert J. Flaherty spends one year following the lives of Nanook and his family, Inuit living in the Arctic Circle.",N/A,"USA, France",1 win.,http://ia.media-imdb.com/images/M/MV5BMTg4Njk3MjU5Ml5BMl5BanBnXkFtZTgwOTIyODg5MTE@._V1_SX300.jpg,N/A,7.8,"7,552",Nanook of the North
tt0013257,,,,,,TRUE,H__xan: Witchcraft Through the Ages,1922,NOT RATED,27-May-29,91 min,"Documentary, Fantasy, Horror",Benjamin Christensen,Benjamin Christensen,"Maren Pedersen, Clara Pontoppidan, Elith Pio, Oscar Stribolt","Fictionalized documentary showing the evolution of witchcraft, from its pagan roots to its confusion with hysteria in modern Europe.","Swedish, Danish",Sweden,N/A,http://ia.media-imdb.com/images/M/MV5BMTQzMjg4ODI3Ml5BMl5BanBnXkFtZTgwNDA2MDM5MTE@._V1_SX300.jpg,N/A,7.7,"7,817",Haxan
tt0013140,,,,,,TRUE,Foolish Wives,1922,N/A,11-Jan-22,117 min,"Drama, Thriller",Erich von Stroheim,"Erich von Stroheim (story and scenario), Marian Ainslee (titles), Walter Anthony (titles)","Rudolph Christians, Miss DuPont, Maude George, Mae Busch",A con artist masquerades a Russian nobility and attempts to seduce the wife of an American diplomat.,English,USA,1 win.,http://ia.media-imdb.com/images/M/MV5BMTk2NDkxMTY1Nl5BMl5BanBnXkFtZTgwNDI1NDU5MTE@._V1_SX300.jpg,N/A,7.3,"2,009",Foolish Wives
tt0013442,,,,,TRUE,TRUE,Nosferatu,1922,UNRATED,3-Jun-29,81 min,"Fantasy, Horror",F.W. Murnau,"Henrik Galeen (screen play), Bram Stoker (based on the novel: ""Dracula"")","Max Schreck, Gustav von Wangenheim, Greta Schr__der, Georg H. Schnell",Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,German,Germany,1 win & 1 nomination.,http://ia.media-imdb.com/images/M/MV5BMzgwNzQ3NDM4N15BMl5BanBnXkFtZTgwODU1MDM5MTE@._V1_SX300.jpg,N/A,8,"68,568","Nosferatu (Nosferatu, eine Symphonie des Grauens)"
tt0014341,,,,,,TRUE,Our Hospitality,1923,NOT RATED,19-Nov-23,65 min,"Comedy, Romance, Thriller","John G. Blystone, Buster Keaton","Jean C. Havez (story), Clyde Bruckman (story), Joseph A. Mitchell (story)","Joe Roberts, Francis X. Bushman Jr., Craig Ward, Monte Collins","A man returns to his Appalachian homestead. On the trip, he falls for a young woman. The only problem is her family has vowed to kill every member of his family.",English,USA,1 nomination.,http://ia.media-imdb.com/images/M/MV5BMTgzNjIyOTg0MF5BMl5BanBnXkFtZTgwMDUyODgwMzE@._V1_SX300.jpg,N/A,7.9,"7,268",Our Hospitality
tt0013626,,,,,,TRUE,The Smiling Madame Beudet,1923,N/A,9-Nov-23,26 min,Drama,Germaine Dulac,"Denys Amiel (play), Germaine Dulac (screenplay), Andr_© Obey (play), Andr_© Obey (screenplay)","Germaine Dermoz, Alexandre Arquilli_¨re, Jean d'Yd, Yvette Grisier","One of the first feminist movies, The Smiling Madame Beudet is the story of an intelligent woman trapped in a loveless marriage. Her husband is used to playing a stupid practical joke in ...",N/A,France,N/A,http://ia.media-imdb.com/images/M/MV5BZTlkZjU4MWItYjIwMy00ZTJjLThhN2YtNDAzZTU2NGQzYTUwXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_SX300.jpg,N/A,6.8,"1,197","Smiling Madame Beudet, The (La souriante Madame Beudet)"
tt0014417,,,,,,TRUE,The Wheel,1923,N/A,17-Feb-23,273 min,Drama,Abel Gance,Abel Gance,"S_©verin-Mars, Ivy Close, Gabriel de Gravone, Pierre Magnier","Sisif, a railwayman, and his son Elie fall in love with the beautiful Norma (whom Sisif rescued from a train crash when a baby and raised as his daughter), with tragic results. Originally ...",French,France,N/A,http://ia.media-imdb.com/images/M/MV5BMjAzODE4NTg5MF5BMl5BanBnXkFtZTcwODIzMzg2MQ@@._V1_SX300.jpg,N/A,7.6,"1,144","Wheel, The (La roue)"
tt0015324,,,,,,TRUE,Sherlock Jr.,1924,UNRATED,21-Apr-24,45 min,"Action, Comedy, Romance",Buster Keaton,"Jean C. Havez (story), Joseph A. Mitchell (story), Clyde Bruckman (story)","Buster Keaton, Kathryn McGuire, Joe Keaton, Erwin Connelly","A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",English,USA,1 win.,http://ia.media-imdb.com/images/M/MV5BMTY3ODM2MzcwMl5BMl5BanBnXkFtZTgwODQ0OTU2MzE@._V1_SX300.jpg,N/A,8.3,"21,843","Sherlock, Jr."
tt0015400,,,,,,TRUE,The Thief of Bagdad,1924,APPROVED,23-Mar-24,155 min,"Adventure, Family, Fantasy",Raoul Walsh,"Lotta Woods (scenario editor), Douglas Fairbanks (story)","Douglas Fairbanks, Snitz Edwards, Charles Belcher, Julanne Johnston",A recalcitrant thief vies with a duplicitous Mongol ruler for the hand of a beautiful princess.,N/A,USA,2 wins.,http://ia.media-imdb.com/images/M/MV5BNzQ0NjAyMDgwM15BMl5BanBnXkFtZTgwNDc4NTcwMjE@._V1_SX300.jpg,N/A,7.9,"4,122","Thief of Bagdad, The"
tt1764657,,,,,,TRUE,The Great White Silence,1924,N/A,N/A,108 min,Documentary,Herbert G. Ponting,N/A,"Robert Falcon Scott, Herbert G. Ponting","In 1910 the British Antarctic Expedition, led by Capt. Robert F. Scott, embarks from Lyttleton, NZ on a quest to become the first to reach the South Pole.",English,UK,N/A,http://ia.media-imdb.com/images/M/MV5BZjIzYTlhN2QtZGE2ZS00NDU4LTk5M2ItOGQ5ZGE3MWQyYjgwXkEyXkFqcGdeQXVyNTAzNTYzMDQ@._V1_SX300.jpg,N/A,8.1,435,"Great White Silence, The"
tt0015064,,,,,,TRUE,The Last Laugh,1924,NOT RATED,5-Jan-25,90 min,Drama,F.W. Murnau,Carl Mayer,"Emil Jannings, Maly Delschaft, Max Hiller, Emilie Kurz","An aging doorman, after being fired from his prestigious job at a luxurious Hotel is forced to face the scorn of his friends, neighbours and society.",N/A,Germany,N/A,http://ia.media-imdb.com/images/M/MV5BMTk2MzY4MzcwOV5BMl5BanBnXkFtZTgwOTU4NTcwMjE@._V1_SX300.jpg,N/A,8.1,"9,089","Last Laugh, The (Der Letzte Mann)"
tt0015881,,,,,,TRUE,Greed,1924,NOT RATED,26-Jan-25,140 min,"Drama, Thriller, Western",Erich von Stroheim,"June Mathis (screen adaptation and scenario), Erich von Stroheim (screen adaptation and scenario), Frank Norris (from the American classic ""McTeague"" by)","Zasu Pitts, Gibson Gowland, Jean Hersholt, Dale Fuller",The sudden fortune won from a lottery fans such destructive greed that it ruins the lives of the three people involved.,English,USA,1 win.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc4OTEwMTg2NV5BMl5BanBnXkFtZTgwODY1NDU5MTE@._V1_SX300.jpg,N/A,7.9,"7,098",Greed
tt0015772,,,,,,TRUE,The Eagle,1925,UNRATED,8-Nov-25,73 min,"Action, Comedy, Drama",Clarence Brown,"Alexander Pushkin (story), George Marion Jr. (titles)","Rudolph Valentino, Vilma B__nky, Louise Dresser, Albert Conti","A wanted Russian lieutenant becomes a masked vigilante seeking vengeance upon the man who stole his family's land, only to fall for his charming daughter.",English,USA,N/A,http://ia.media-imdb.com/images/M/MV5BMTQyNjI2MTU0N15BMl5BanBnXkFtZTgwMTIxMTYxMjE@._V1_SX300.jpg,N/A,7.5,"1,214","Eagle, The"
tt0015864,58,74,,,,TRUE,The Gold Rush,1925,NOT RATED,N/A,95 min,"Adventure, Comedy, Drama",Charles Chaplin,Charles Chaplin,"Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman",A prospector goes to the Klondike in search of gold and finds it and more.,English,USA,Nominated for 2 Oscars. Another 3 wins & 1 nomination.,http://ia.media-imdb.com/images/M/MV5BMzYzMDQyNzA4NV5BMl5BanBnXkFtZTYwNDU5NDU5._V1_SX300.jpg,N/A,8.2,"68,479","Gold Rush, The"
tt0016332,,,,,,TRUE,Seven Chances,1925,NOT RATED,15-Mar-25,56 min,"Comedy, Romance",Buster Keaton,"Roi Cooper Megrue (adapted from David Belasco's famous comedy by), Clyde Bruckman (screen version), Jean C. Havez (screen version), Joseph A. Mitchell (screen version)","Buster Keaton, T. Roy Barnes, Snitz Edwards, Ruth Dwyer",A man learns he will inherit a fortune if he marries. By 7 p.m. Today.,English,USA,1 win & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2OTIwMjYzN15BMl5BanBnXkFtZTgwOTExMTYxMjE@._V1_SX300.jpg,N/A,8,"6,355",Seven Chances
tt0015361,,,,,,TRUE,Strike,1925,NOT RATED,N/A,82 min,Drama,Sergei M. Eisenstein,"Grigori Aleksandrov, Sergei M. Eisenstein, Ilya Kravchunovsky, Valerian Pletnev","Maksim Shtraukh, Grigori Aleksandrov, Mikhail Gomorov, I. Ivanov",A group of oppressed factory workers go on strike in pre-revolutionary Russia.,N/A,Soviet Union,N/A,http://ia.media-imdb.com/images/M/MV5BMjA5Mzc0Mzg3MF5BMl5BanBnXkFtZTgwNzgyMzQ2MTE@._V1_SX300.jpg,N/A,7.6,"4,904",Strike (Stachka)
