Achieve-ratio,Achieve,Adj-ratio,Adj,Adverb-ratio,Adverb,Affect-ratio,Affect,Affiliation-ratio,Affiliation,Anger-ratio,Anger,Anx-ratio,Anx,Article-ratio,Article,Assent-ratio,Assent,AuthorityVice-ratio,Authority Vice,AuthorityVirtue-ratio,Authority Virtue,Auxverb-ratio,Auxverb,BT-none-USD,Bio-ratio,Bio,Body-ratio,Body,CERT dummycode,Genre (Primary),Country (primary),Net Positive Ratio,IMDB URL,Harm-ratio,Fairness-ratio,Ingroup-ratio,Authority-ratio,Purity-ratio,Dummy-1001 Book,Dummy-Guardian List,Dummy-AFC 1998,Dummy-AFC 2007,Dummy-SS 2012,Dummy-WGA 2005,List of Lists Score,Cause-ratio,Cause,Certain-ratio,Certain,CogProc-ratio,Cog Proc,Compare-ratio,Compare,Conj-ratio,Conj,Death-ratio,Death,Differ-ratio,Differ,Discrep-ratio,Discrep,Drives-ratio,Drives,FairnessVice-ratio,Fairness Vice,FairnessVirtue-ratio,Fairness Virtue,Family-ratio,Family,Feel-ratio,Feel,Female-ratio,Female,Filler-ratio,Filler,FocusFuture-ratio,Focus Future,FocusPast-ratio,Focus Past,FocusPresent-ratio,Focus Present,Friend-ratio,Friend,Function-ratio,Function,GR-usa-USD,GR-worldwide-USD,HarmVice-ratio,Harm Vice,HarmVirtue-ratio,Harm Virtue,Health-ratio,Health,Hear-ratio,Hear,Home-ratio,Home,I-ratio,ID Subtitle File,ID Subtitle,I,Informal-ratio,Informal,Ingest-ratio,Ingest,IngroupVice-ratio,Ingroup Vice,IngroupVirtue-ratio,Ingroup Virtue,Insight-ratio,Insight,Interrog-ratio,Interrog,Ipron-ratio,Ipron,Leisure-ratio,Leisure,Male-ratio,Male,Money-ratio,Money,MoralityGeneral-ratio,Morality General,Motion-ratio,Motion,Movie ID,Movie Imdb ID,Movie Name,Movie Year,Negate-ratio,Negate,Negative-ratio,Negative,Negemo-ratio,Negemo,Netspeak-ratio,Netspeak,Nonflu-ratio,Nonflu,Number-ratio,Number,OW-usa-USD,OW-worldwide-USD,Percept-ratio,Percept,Posemo-ratio,Posemo,Positive-ratio,Positive,Power-ratio,Power,Ppron-ratio,Ppron,Prep-ratio,Prep,PrimaryGenre dummycoded,Pronoun-ratio,Pronoun,PurityVice-ratio,Purity Vice,PurityVirtue-ratio,Purity Virtue,Quant-ratio,Quant,RT-usa-USD,RT-worldwide-USD,Relativ-ratio,Relativ,Relig-ratio,Relig,Reward-ratio,Reward,Risk-ratio,Risk,Sad-ratio,Sad,See-ratio,See,Sexual-ratio,Sexual,SheHe-ratio,She He,Social-ratio,Social,Space-ratio,Space,Sub Actual CD,SubDownloadsCnt 1,Sub Downloads Cnt,Sub Format,Sub Language ID,Sub Sum CD,Swear-ratio,Swear,Tentat-ratio,Tentat,They-ratio,They,Time-ratio,Time,TotalWords 1,Total Words,USAany 1 other 0,USAonly 1 other 0,User Rank,Verb-ratio,Verb,WG-usa-USD,We-ratio,We,Work-ratio,Work,Released in Decade,You-ratio,You,Action,Actors,Adult,Adventure,Alternate Title,Animation,Awards,Biography,Cert-Argentina,Cert-Australasia,Cert-Australia,Cert-Austria,Cert-Belgium,Cert-Brazil,Cert-Canada,Cert-Chile,Cert-China,Cert-Colombia,Cert-Cyprus,Cert-Czech-Republic,Cert-Denmark,Cert-Finland,Cert-France,Cert-Germany,Cert-Greece,Cert-Hong-Kong,Cert-Hungary,Cert-Iceland,Cert-India,Cert-Indonesia,Cert-Iran,Cert-Ireland,Cert-Israel,Cert-Italy,Cert-Japan,Cert-Luxembourg,Cert-Malaysia,Cert-Malta,Cert-Mexico,Cert-Netherlands,Cert-New-Zealand,Cert-Norway,Cert-Peru,Cert-Philippines,Cert-Poland,Cert-Portugal,Cert-Puerto-Rico,Cert-Romania,Cert-Russia,Cert-Singapore,Cert-Slovakia,Cert-South-Africa,Cert-South-Korea,Cert-Soviet-Union,Cert-Spain,Cert-Sweden,Cert-Switzerland,Cert-Taiwan,Cert-Thailand,Cert-Turkey,Cert-Uk,Cert-Usa,Cert-Venezuela,Cert-West-Germany,Comedy,country (GenresAndFinanceAndCertsAndSent),Country,Crime,Director,Documentary,Drama,Errors,Family1,Fantasy,Genre1,Genre2,Genre3,Genre,History,Horror,idtransform1,idtransform2,imdb_id (GenresAndFinanceAndCertsAndSent),Imdb Id,Imdb Rating,Imdb Signature,Imdb Votes,Included In 1001 Book,Included In Guardian List,Language,Made For,Metascore,Music,Musical,Mystery,News,Plot,Plot Summary,Poster,Random Number,Rank Afc 1998,Rank Afc 2007,Rank Ss 2012,Rank Wga 2005,Rated,Rating Dist,Rating Rank,Rating Votes,Released,Romance,Running Time,Running Time Comment,Runtime,Short,Sport,Thriller,Title,Type,War,Western,Wikipedia Url,Writer,Year
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Documentary,France,,http://www.imdb.com/title/tt0179216,,,,,,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980s,,,,N/A,,,Histoire(s) du cin_ma,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,,Jean-Luc Godard,,,,,,,,,Documentary,,,,,,tt0179216,7.3,,539,,,French,,N/A,,,,,N/A,,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjI0MGY3NzktZjI4Yi00OGMzLTgyMDMtYTM0Mjg2OTNhN2RiXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR9,0,182,268_AL_.jpg",,,,48,,N/A,,,,,,,,42 min,,,,Histoire(s) du cin_©ma: Une histoire seule,,,,,N/A,1989
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Animation,USA,,http://www.imdb.com/title/tt0056060,,,,,,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960s,,,,N/A,,,Heaven and Earth Magic,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,Harry Smith,,,,,,,,,Animation,,,,,,tt0056060,5.7,,340,TRUE,,English,,N/A,,,,,N/A,,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjhjNWFhMTMtYjRiZi00OWVmLTliOGItZjJlNDA2NDY3ODAxXkEyXkFqcGdeQXVyNjYwOTI0ODI@._V1_UY268_CR87,0,182,268_AL_.jpg",,,,,,N/A,,,,,,,,66 min,,,,Heaven and Earth Magic,,,,,N/A,1962
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biography,Taiwan,,http://www.imdb.com/title/tt0090185,,,,,,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980s,,,,"Chia-bao Chang, Neng Chang, Chih-Chen Chen, Han-wen Chen",,,"Time to Live and a Time to Die, A (Tong nien wang shi)",,8 wins & 5 nominations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taiwan,,"Hsiao-Hsien Hou, Jia-hua Lao, Li-Yin Yang, Hsiao-ming Hsu",,,,,,,,,"Biography, Drama",,,,,,tt0090185,7.9,,1450,TRUE,,"Mandarin, Hakka, Mandarin",,N/A,,,,,"The semi-autobiographical film on director Hou Hsiao-Hsien's childhood and adolescence, when he was growing up in Taiwan, living through the deaths of his father, mother and grandmother.",,http://ia.media-imdb.com/images/M/MV5BZTI4ZWQwYzUtYTk4Ni00ZjRjLWI1OGUtNjNiNjFkYWRiNWY1XkEyXkFqcGdeQXVyMjg0MTI5NzQ@._V1_SX300.jpg,,,,,,N/A,,,,,,,,138 min,,,,"A Time to Live, a Time to Die",,,,,"T'ien-wen Chu, Hsiao-Hsien Hou",1985
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Documentary,UK,,http://www.imdb.com/title/tt1764657,,,,,,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920s,,,,"Robert Falcon Scott, Herbert G. Ponting",,,"Great White Silence, The",,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK,,Herbert G. Ponting,,,,,,,,,Documentary,,,,,,tt1764657,8.1,,435,TRUE,,English,,N/A,,,,,"In 1910 the British Antarctic Expedition, led by Capt. Robert F. Scott, embarks from Lyttleton, NZ on a quest to become the first to reach the South Pole.",,http://ia.media-imdb.com/images/M/MV5BZjIzYTlhN2QtZGE2ZS00NDU4LTk5M2ItOGQ5ZGE3MWQyYjgwXkEyXkFqcGdeQXVyNTAzNTYzMDQ@._V1_SX300.jpg,,,,,,N/A,,,,,,,,108 min,,,,The Great White Silence,,,,,N/A,1924
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drama,USA,,http://www.imdb.com/title/tt0076293,,,,,,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970s,,,,"Tom Blair, Wayne Crouse, Jessica St. John, Steve Voorheis",,,Last Chants for a Slow Dance,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,Jon Jost,,,,,,,,,Drama,,,,,,tt0076293,6.7,,240,TRUE,,English,,N/A,,,,,"This film follows an antisocial working-class husband and father struggling to find work in the Midwest. As the film progresses, it seems that he has little actual interest in supporting ...",,N/A,,,,,,N/A,,,,,,,,90 min,,,,Last Chants for a Slow Dance,,,,,Jon Jost,1977
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Short,USA,,http://www.imdb.com/title/tt0060511,,,,,,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960s,,,,"Donna Kerness, George Kuchar, Stella Kuchar, Andrea Lunin",,,Hold Me While I'm Naked,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,George Kuchar,,,,,,,,,"Short, Comedy, Drama",,,,,,tt0060511,5.8,,958,TRUE,,English,,N/A,,,,,A independent director is faced with artistic difficulty when he asks his actresses to show nudity.,,http://ia.media-imdb.com/images/M/MV5BMjE3MDEwMDM2MV5BMl5BanBnXkFtZTcwNjkzODcxMQ@@._V1_SX300.jpg,,,,,,N/A,,,,,,,,17 min,,,,Hold Me While I'm Naked,,,,,N/A,1966
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Short,USA,,http://www.imdb.com/title/tt0130976,,,,,,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960s,,,,N/A,,,Report,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,Bruce Conner,,,,,,,,,Short,,,,,,tt0130976,6.6,,678,TRUE,,English,,N/A,,,,,A compilation of selected bits of archival footage put to a narration of news reports describing the day President John F. Kennedy was assassinated.,,"https://images-na.ssl-images-amazon.com/images/M/MV5BY2E5NzIxZDItYWZlNC00MzhhLTgzYzEtYThmYjE2YzBjZWJkXkEyXkFqcGdeQXVyNjA3MzA0MzA@._V1_UY268_CR4,0,182,268_AL_.jpg",,,,,,N/A,,,,,,,,13 min,,,,Report,,,,,N/A,1967
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drama,Japan,,http://www.imdb.com/title/tt0047445,,,,,,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950s,,,,"Kinuyo Tanaka, Yoshiaki Hanayagi, Ky_«ko Kagawa, Eitar_« Shind_«",,,Sansho the Bailiff (Sansho dayu),,1 win & 1 nomination.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japan,,Kenji Mizoguchi,,,,,,,,,Drama,,,,,,tt0047445,8.4,,10302,TRUE,,Japanese,,N/A,,,,,"In mediaeval Japan a compassionate governor is sent into exile. His wife and children try to join him, but are separated, and the children grow up amid suffering and oppression.",,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgyNTcwNjEzNF5BMl5BanBnXkFtZTcwODc0OTM0MQ@@._V1._CR56,19,298,474_UX182_CR0,0,182,268_AL_.jpg",,,,,,NOT RATED,,,,,,,,124 min,,,,Sansho the Bailiff,,,,,"Ogai Mori (short story ""Sansh_« day_È""), Fuji Yahiro (screenplay), Yoshikata Yoda (screenplay)",1954
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drama,USA,,http://www.imdb.com/title/tt0012532,,,,,,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920s,,,,"Lillian Gish, Dorothy Gish, Joseph Schildkraut, Frank Losee",,,Orphans of the Storm,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,D.W. Griffith,,,,,,,,,"Drama, History, Romance",,,,,,tt0012532,7.9,,3757,TRUE,,English,,N/A,,,,,"Two orphaned sisters are caught up in the turmoil of the French Revolution, encountering misery and love along the way.",,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxMDYxNDgyNV5BMl5BanBnXkFtZTcwMTQ5MDUyMQ@@._V1._CR1,26,352,443_UY268_CR15,0,182,268_AL_.jpg",,,,,,NOT RATED,,,,,,,,150 min,,,,Orphans of the Storm,,,,,"Adolphe d'Ennery (novel), Eug_¬ne Cormon (novel), D.W. Griffith",1921
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drama,USA,,http://www.imdb.com/title/tt0015624,,,,,,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920s,,,,"John Gilbert, Ren_©e Ador_©e, Hobart Bosworth, Claire McDowell",,,"Big Parade, The",,3 wins.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,"King Vidor, George W. Hill",,,,,,,,,"Drama, Romance, War",,,,,,tt0015624,8.3,,4837,TRUE,,N/A,,N/A,,,,,A young American soldier witnesses the horrors of the Great War.,,http://ia.media-imdb.com/images/M/MV5BNjE0MTg1MDgwNF5BMl5BanBnXkFtZTgwNjQ2ODAyMjE@._V1_SX300.jpg,,,,,,NOT RATED,,,,,,,,151 min,,,,The Big Parade,,,,,"Laurence Stallings (story), Harry Behn (scenario), Joseph Farnham (titles)",1925
